********************************************************************************
Field Output Report, written Thu Feb 22 21:47:43 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
              65     1.63468E+03     1.63468E+03         2.64529         2.64529        -1.26122        -1.26122
              66     1.63479E+03     1.63479E+03         2.49861         2.49861        -1.03090        -1.03090
              67     1.63487E+03     1.63487E+03         2.37826         2.37826    -811.546E-03    -811.546E-03
              68     1.63494E+03     1.63494E+03         2.28447         2.28447    -600.978E-03    -600.978E-03
              69     1.63498E+03     1.63498E+03         2.21736         2.21736    -397.004E-03    -397.004E-03
              70     1.63501E+03     1.63501E+03         2.17697         2.17697    -197.974E-03    -197.974E-03
              71     1.63520E+03     1.63520E+03         1.94811         1.94811    -107.885E-03    -107.885E-03
              72     1.63538E+03     1.63538E+03         1.73222         1.73222    -112.953E-03    -112.953E-03
              73     1.63555E+03     1.63555E+03         1.50896         1.50896    -115.398E-03    -115.398E-03
              74     1.63570E+03     1.63570E+03         1.28357         1.28357    -115.090E-03    -115.090E-03
              75     1.63583E+03     1.63583E+03         1.06147         1.06147    -111.980E-03    -111.980E-03
              76     1.63593E+03     1.63593E+03     848.148E-03     848.148E-03    -106.066E-03    -106.066E-03
              77     1.63599E+03     1.63599E+03     648.985E-03     648.985E-03    -97.4249E-03    -97.4249E-03
              78     1.63600E+03     1.63600E+03     469.184E-03     469.184E-03    -86.1841E-03    -86.1841E-03
              79     1.63596E+03     1.63596E+03     313.588E-03     313.588E-03    -72.5824E-03    -72.5824E-03
              80     1.63585E+03     1.63585E+03     186.562E-03     186.562E-03    -56.8666E-03    -56.8666E-03
              81     1.63568E+03     1.63568E+03     91.7659E-03     91.7659E-03    -39.5159E-03    -39.5159E-03
              82     1.63543E+03     1.63543E+03     32.0767E-03     32.0767E-03    -20.8490E-03    -20.8490E-03
              83     1.63531E+03     1.63531E+03     11.5534E-03     11.5534E-03    -20.4632E-03    -20.4632E-03
              84     1.63537E+03     1.63537E+03     11.8749E-03     11.8749E-03    -40.0892E-03    -40.0892E-03
              85     1.63547E+03     1.63547E+03     12.1975E-03     12.1975E-03    -61.0717E-03    -61.0717E-03
              86     1.63561E+03     1.63561E+03     12.7440E-03     12.7440E-03    -82.9598E-03    -82.9598E-03
              87     1.63580E+03     1.63580E+03     13.4470E-03     13.4470E-03    -106.149E-03    -106.149E-03
              88     1.63603E+03     1.63603E+03     14.3028E-03     14.3028E-03    -130.964E-03    -130.964E-03
              89     1.63632E+03     1.63632E+03     15.3145E-03     15.3145E-03    -157.739E-03    -157.739E-03
              90     1.63666E+03     1.63666E+03     16.4717E-03     16.4717E-03    -186.804E-03    -186.804E-03
              91     1.63706E+03     1.63706E+03     17.7740E-03     17.7740E-03    -218.486E-03    -218.486E-03
              92     1.63753E+03     1.63753E+03     19.2093E-03     19.2093E-03    -253.107E-03    -253.107E-03
              93     1.63807E+03     1.63807E+03     20.7685E-03     20.7685E-03    -290.977E-03    -290.977E-03
              94     1.63869E+03     1.63869E+03     22.4334E-03     22.4334E-03    -332.391E-03    -332.391E-03
              95     1.63940E+03     1.63940E+03     24.1827E-03     24.1827E-03    -377.616E-03    -377.616E-03
              96     1.64019E+03     1.64019E+03     25.9855E-03     25.9855E-03    -426.881E-03    -426.881E-03
              97     1.64109E+03     1.64109E+03     27.8016E-03     27.8016E-03    -480.360E-03    -480.360E-03
              98     1.64211E+03     1.64211E+03     29.5787E-03     29.5787E-03    -538.151E-03    -538.151E-03
              99     1.64324E+03     1.64324E+03     31.2470E-03     31.2470E-03    -600.252E-03    -600.252E-03
             100     1.64449E+03     1.64449E+03     32.7208E-03     32.7208E-03    -666.526E-03    -666.526E-03
             101     1.64589E+03     1.64589E+03     33.8842E-03     33.8842E-03    -736.658E-03    -736.658E-03
             102     1.64743E+03     1.64743E+03     34.6024E-03     34.6024E-03    -810.106E-03    -810.106E-03
             103     1.64911E+03     1.64911E+03     34.6912E-03     34.6912E-03    -886.037E-03    -886.037E-03
             104     1.65095E+03     1.65095E+03     33.9482E-03     33.9482E-03    -963.255E-03    -963.255E-03
             105     1.65294E+03     1.65294E+03     32.0939E-03     32.0939E-03        -1.04011        -1.04011
             106     1.65508E+03     1.65508E+03     28.8421E-03     28.8421E-03        -1.11441        -1.11441
             107     1.65736E+03     1.65736E+03     23.7946E-03     23.7946E-03        -1.18328        -1.18328
             108     1.65977E+03     1.65977E+03     16.5821E-03     16.5821E-03        -1.24312        -1.24312
             109     1.66229E+03     1.66229E+03     6.68979E-03     6.68979E-03        -1.28941        -1.28941
             110     1.66488E+03     1.66488E+03    -6.28974E-03    -6.28974E-03        -1.31669        -1.31669
             111     1.66750E+03     1.66750E+03    -22.9109E-03    -22.9109E-03        -1.31853        -1.31853
             112     1.67009E+03     1.67009E+03    -43.4811E-03    -43.4811E-03        -1.28749        -1.28749
             113     1.67257E+03     1.67257E+03    -68.3620E-03    -68.3620E-03        -1.21541        -1.21541
             114     1.67487E+03     1.67487E+03    -97.4699E-03    -97.4699E-03        -1.09362        -1.09362
             115     1.67686E+03     1.67686E+03    -130.496E-03    -130.496E-03    -913.673E-03    -913.673E-03
             116     1.67843E+03     1.67843E+03    -166.492E-03    -166.492E-03    -668.011E-03    -668.011E-03
             117     1.67945E+03     1.67945E+03    -203.769E-03    -203.769E-03    -351.413E-03    -351.413E-03
             118     1.67976E+03     1.67976E+03    -239.952E-03    -239.952E-03     37.7589E-03     37.7589E-03
             119     1.67923E+03     1.67923E+03    -271.370E-03    -271.370E-03     495.528E-03     495.528E-03
             120     1.67773E+03     1.67773E+03    -293.993E-03    -293.993E-03         1.01071         1.01071
             121     1.67517E+03     1.67517E+03    -302.508E-03    -302.508E-03         1.56321         1.56321
             122     1.67150E+03     1.67150E+03    -292.162E-03    -292.162E-03         2.12319         2.12319
             123     1.66675E+03     1.66675E+03    -258.587E-03    -258.587E-03         2.65186         2.65186
             124     1.66102E+03     1.66102E+03    -198.802E-03    -198.802E-03         3.10027         3.10027
             125     1.65523E+03     1.65523E+03    -294.528E-03    -294.528E-03         6.30524         6.30524
             126     1.65834E+03     1.65834E+03    -865.322E-03    -865.322E-03         11.3380         11.3380
             127     1.66201E+03     1.66201E+03        -1.80919        -1.80919         15.0632         15.0632
             128     1.66617E+03     1.66617E+03        -3.18639        -3.18639         17.7829         17.7829
             129     1.67084E+03     1.67084E+03        -5.13587        -5.13587         19.6912         19.6912
             130     1.67609E+03     1.67609E+03        -7.86875        -7.86875         20.8475         20.8475
             131     1.68199E+03     1.68199E+03        -11.6680        -11.6680         21.1609         21.1609
             132     1.68859E+03     1.68859E+03        -16.8825        -16.8825         20.3581         20.3581
             133     1.69580E+03     1.69580E+03        -23.9015        -23.9015         17.9135         17.9135
             134     1.70320E+03     1.70320E+03        -33.0510        -33.0510         12.9901         12.9901
             135     1.70979E+03     1.70979E+03        -44.3879        -44.3879         4.40408         4.40408
             136     1.71351E+03     1.71351E+03        -57.2301        -57.2301        -9.08801        -9.08801
             137     1.68711E+03     1.68711E+03        -63.3924        -63.3924         40.6451         40.6451
             138     1.66869E+03     1.66869E+03        -53.4455        -53.4455         44.6731         44.6731
             139     1.65405E+03     1.65405E+03        -42.9663        -42.9663         44.9505         44.9505
             140     1.64311E+03     1.64311E+03        -33.3098        -33.3098         42.9772         42.9772
             141     1.63527E+03     1.63527E+03        -24.9540        -24.9540         39.8632         39.8632
             142     1.62987E+03     1.62987E+03        -17.9740        -17.9740         36.3332         36.3332
             143     1.62629E+03     1.62629E+03        -12.2478        -12.2478         32.8000         32.8000
             144     1.62406E+03     1.62406E+03        -7.60629        -7.60629         29.4770         29.4770
             145     1.62278E+03     1.62278E+03        -3.87487        -3.87487         26.4563         26.4563
             146     1.62220E+03     1.62220E+03    -900.627E-03    -900.627E-03         23.7619         23.7619
