********************************************************************************
Field Output Report, written Thu Feb 22 21:47:40 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      2: Step Time =   0.2000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1         345.207         345.207        -16.1402        -16.1402        -6.94132        -6.94132
               2         328.291         328.291     455.659E-03     455.659E-03    -20.8534E-03    -20.8534E-03
               3         328.355         328.355     2.12793E-03     2.12793E-03    -2.35308E-03    -2.35308E-03
               4         331.895         331.895    -21.2072E-03    -21.2072E-03     701.444E-03     701.444E-03
               5         345.345         345.345        -16.0820        -16.0820         6.68341         6.68341
               6         328.291         328.291     455.724E-03     455.724E-03     20.8515E-03     20.8515E-03
               7         264.231         264.231         7.39850         7.39850        -1.02346        -1.02346
               8         330.671         330.671    -25.9322E-03    -25.9322E-03    -589.694E-03    -589.694E-03
               9         345.916         345.916        -16.8190        -16.8190         7.64239         7.64239
              10         351.055         351.055         34.6238         34.6238     400.989E-03     400.989E-03
              11         331.961         331.961    -22.0399E-03    -22.0399E-03    -701.432E-03    -701.432E-03
              12         328.355         328.355     2.12838E-03     2.12838E-03     2.35356E-03     2.35356E-03
              13         308.702         308.702         93.8925         93.8925        -20.4722        -20.4722
              14         502.277         502.277         69.7407         69.7407        -81.2909        -81.2909
              15         345.545         345.545        -16.9281        -16.9281        -8.10491        -8.10491
              16         330.713         330.713    -26.9714E-03    -26.9714E-03     590.305E-03     590.305E-03
              17         350.923         350.923         35.0597         35.0597        -1.01316        -1.01316
              18         308.704         308.704         93.8898         93.8898         20.4675         20.4675
              19         265.227         265.227         6.42987         6.42987        -1.02225        -1.02225
              20         502.277         502.277         69.7406         69.7406         81.2907         81.2907
              21        -5.36816        -5.36816        -232.800        -232.800     214.511E-03     214.511E-03
              22         271.828         271.828         60.7514         60.7514        -132.318        -132.318
              23         838.215         838.215         54.5026         54.5026     97.0135E-03     97.0135E-03
              24         276.030         276.030         62.5755         62.5755         134.169         134.169
              25         276.537         276.537         62.6473         62.6473         134.437         134.437
              26         266.890         266.890         59.8689         59.8689        -130.907        -130.907
              27         839.867         839.867         53.9308         53.9308         3.87736         3.87736
              28        -5.40555        -5.40555        -233.821        -233.821     231.569E-03     231.569E-03
              29         338.777         338.777        -12.9757        -12.9757        -8.20664        -8.20664
              30         335.040         335.040        -10.9326        -10.9326        -9.03942        -9.03942
              31         332.069         332.069        -8.78000        -8.78000        -9.09796        -9.09796
              32         329.855         329.855        -6.80117        -6.80117        -8.69236        -8.69236
              33         328.276         328.276        -5.09424        -5.09424        -8.05519        -8.05519
              34         327.191         327.191        -3.67185        -3.67185        -7.33625        -7.33625
              35         326.476         326.476        -2.50627        -2.50627        -6.61976        -6.61976
