********************************************************************************
Field Output Report, written Thu Feb 22 21:47:41 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      7: Step Time =   0.7000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
              51     6.91630E-03     6.91630E-03    -2.17352E-03    -2.17352E-03    -77.6181E-06    -77.6181E-06
              52     6.91922E-03     6.91922E-03    -2.17564E-03    -2.17564E-03    -70.6402E-06    -70.6402E-06
              53     6.92198E-03     6.92198E-03    -2.17779E-03    -2.17779E-03    -64.1693E-06    -64.1693E-06
              54     6.92456E-03     6.92456E-03    -2.17994E-03    -2.17994E-03    -58.1632E-06    -58.1632E-06
              55     6.92696E-03     6.92696E-03    -2.18204E-03    -2.18204E-03    -52.5858E-06    -52.5858E-06
              56     6.92918E-03     6.92918E-03    -2.18407E-03    -2.18407E-03    -47.4054E-06    -47.4054E-06
              57     6.93121E-03     6.93121E-03    -2.18602E-03    -2.18602E-03    -42.5935E-06    -42.5935E-06
              58     6.93307E-03     6.93307E-03    -2.18786E-03    -2.18786E-03    -38.1234E-06    -38.1234E-06
              59     6.93476E-03     6.93476E-03    -2.18959E-03    -2.18959E-03    -33.9698E-06    -33.9698E-06
              60     6.93627E-03     6.93627E-03    -2.19119E-03    -2.19119E-03    -30.1083E-06    -30.1083E-06
              61     6.93763E-03     6.93763E-03    -2.19266E-03    -2.19266E-03    -26.5145E-06    -26.5145E-06
              62     6.93883E-03     6.93883E-03    -2.19399E-03    -2.19399E-03    -23.1646E-06    -23.1646E-06
              63     6.93989E-03     6.93989E-03    -2.19518E-03    -2.19518E-03    -20.0346E-06    -20.0346E-06
              64     6.94080E-03     6.94080E-03    -2.19624E-03    -2.19624E-03    -17.1004E-06    -17.1004E-06
              65     6.94158E-03     6.94158E-03    -2.19715E-03    -2.19715E-03    -14.3379E-06    -14.3379E-06
              66     6.94223E-03     6.94223E-03    -2.19793E-03    -2.19793E-03    -11.7227E-06    -11.7227E-06
              67     6.94276E-03     6.94276E-03    -2.19856E-03    -2.19856E-03    -9.23045E-06    -9.23045E-06
              68     6.94316E-03     6.94316E-03    -2.19905E-03    -2.19905E-03    -6.83670E-06    -6.83670E-06
