********************************************************************************
Field Output Report, written Thu Feb 22 21:47:40 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      4: Step Time =   0.4000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     4.24149E-03     4.24149E-03    -1.52390E-03    -1.52390E-03    -224.203E-06    -224.203E-06
               2     3.97364E-03     3.97364E-03    -1.25872E-03    -1.25872E-03    -658.630E-09    -658.630E-09
               3     3.97610E-03     3.97610E-03    -1.26438E-03    -1.26438E-03    -74.1995E-09    -74.1995E-09
               4     4.01962E-03     4.01962E-03    -1.27847E-03    -1.27847E-03     22.2696E-06     22.2696E-06
               5     4.24296E-03     4.24296E-03    -1.52374E-03    -1.52374E-03     215.992E-06     215.992E-06
               6     3.97364E-03     3.97364E-03    -1.25872E-03    -1.25872E-03     658.570E-09     658.570E-09
               7     3.17293E-03     3.17293E-03    -928.787E-06    -928.787E-06    -32.5628E-06    -32.5628E-06
               8     4.00494E-03     4.00494E-03    -1.27385E-03    -1.27385E-03    -18.7358E-06    -18.7358E-06
               9     4.25263E-03     4.25263E-03    -1.53476E-03    -1.53476E-03     246.346E-06     246.346E-06
              10     4.11907E-03     4.11907E-03    -933.640E-06    -933.640E-06     12.6781E-06     12.6781E-06
              11     4.02041E-03     4.02041E-03    -1.27873E-03    -1.27873E-03    -22.2682E-06    -22.2682E-06
              12     3.97610E-03     3.97610E-03    -1.26438E-03    -1.26438E-03     74.2152E-09     74.2152E-09
              13     3.37657E-03     3.37657E-03    -51.8833E-06    -51.8833E-06    -653.168E-06    -653.168E-06
              14     5.81131E-03     5.81131E-03    -1.09069E-03    -1.09069E-03    -2.59152E-03    -2.59152E-03
              15     4.24854E-03     4.24854E-03    -1.53463E-03    -1.53463E-03    -261.058E-06    -261.058E-06
              16     4.00545E-03     4.00545E-03    -1.27402E-03    -1.27402E-03     18.7545E-06     18.7545E-06
              17     4.11581E-03     4.11581E-03    -927.863E-06    -927.863E-06    -32.1214E-06    -32.1214E-06
              18     3.37660E-03     3.37660E-03    -51.9231E-06    -51.9231E-06     653.017E-06     653.017E-06
              19     3.18861E-03     3.18861E-03    -944.224E-06    -944.224E-06    -32.5224E-06    -32.5224E-06
              20     5.81130E-03     5.81130E-03    -1.09069E-03    -1.09069E-03     2.59151E-03     2.59151E-03
              21     828.322E-06     828.322E-06    -2.78922E-03    -2.78922E-03     6.55786E-06     6.55786E-06
              22     3.05787E-03     3.05787E-03    -302.109E-06    -302.109E-06    -4.24301E-03    -4.24301E-03
              23     9.93576E-03     9.93576E-03    -2.57344E-03    -2.57344E-03     3.05264E-06     3.05264E-06
              24     3.10176E-03     3.10176E-03    -296.236E-06    -296.236E-06     4.30222E-03     4.30222E-03
