********************************************************************************
Field Output Report, written Thu Feb 22 21:47:40 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      3: Step Time =   0.3000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     3.18301E-03     3.18301E-03    -1.14381E-03    -1.14381E-03    -167.247E-06    -167.247E-06
               2     2.98169E-03     2.98169E-03    -944.478E-06    -944.478E-06    -496.839E-09    -496.839E-09
               3     2.98356E-03     2.98356E-03    -948.754E-06    -948.754E-06    -56.0177E-09    -56.0177E-09
               4     3.01600E-03     3.01600E-03    -959.261E-06    -959.261E-06     16.7556E-06     16.7556E-06
               5     3.18411E-03     3.18411E-03    -1.14368E-03    -1.14368E-03     161.078E-06     161.078E-06
               6     2.98169E-03     2.98169E-03    -944.477E-06    -944.477E-06     496.794E-09     496.794E-09
               7     2.38021E-03     2.38021E-03    -696.600E-06    -696.600E-06    -24.4738E-06    -24.4738E-06
               8     3.00494E-03     3.00494E-03    -955.782E-06    -955.782E-06    -14.0915E-06    -14.0915E-06
               9     3.19139E-03     3.19139E-03    -1.15199E-03    -1.15199E-03     183.951E-06     183.951E-06
              10     3.09031E-03     3.09031E-03    -700.168E-06    -700.168E-06     9.55871E-06     9.55871E-06
              11     3.01660E-03     3.01660E-03    -959.457E-06    -959.457E-06    -16.7549E-06    -16.7549E-06
              12     2.98356E-03     2.98356E-03    -948.754E-06    -948.754E-06     56.0293E-09     56.0293E-09
              13     2.53369E-03     2.53369E-03    -38.8865E-06    -38.8865E-06    -490.232E-06    -490.232E-06
              14     4.36151E-03     4.36151E-03    -818.027E-06    -818.027E-06    -1.94583E-03    -1.94583E-03
              15     3.18833E-03     3.18833E-03    -1.15190E-03    -1.15190E-03    -195.010E-06    -195.010E-06
              16     3.00532E-03     3.00532E-03    -955.911E-06    -955.911E-06     14.1058E-06     14.1058E-06
              17     3.08785E-03     3.08785E-03    -695.830E-06    -695.830E-06    -24.1848E-06    -24.1848E-06
              18     2.53371E-03     2.53371E-03    -38.9163E-06    -38.9163E-06     490.119E-06     490.119E-06
              19     2.39201E-03     2.39201E-03    -708.231E-06    -708.231E-06    -24.4442E-06    -24.4442E-06
              20     4.36150E-03     4.36150E-03    -818.026E-06    -818.026E-06     1.94583E-03     1.94583E-03
              21     622.720E-06     622.720E-06    -2.09637E-03    -2.09637E-03     5.02923E-06     5.02923E-06
              22     2.29448E-03     2.29448E-03    -230.057E-06    -230.057E-06    -3.17656E-03    -3.17656E-03
              23     7.45719E-03     7.45719E-03    -1.92891E-03    -1.92891E-03     2.30712E-06     2.30712E-06
              24     2.32740E-03     2.32740E-03    -225.637E-06    -225.637E-06     3.22095E-03     3.22095E-03
