********************************************************************************
Field Output Report, written Thu Feb 22 21:47:41 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      5: Step Time =   0.5000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1         861.541         861.541        -40.0922        -40.0922        -17.6365        -17.6365
               2         819.517         819.517         1.11720         1.11720    -51.2364E-03    -51.2364E-03
               3         819.667         819.667     5.45495E-03     5.45495E-03    -5.76751E-03    -5.76751E-03
               4         828.677         828.677    -51.8465E-03    -51.8465E-03         1.73691         1.73691
               5         861.890         861.890        -39.9498        -39.9498         16.9952         16.9952
               6         819.517         819.517         1.11736         1.11736     51.2317E-03     51.2317E-03
               7         660.114         660.114         18.3569         18.3569        -2.54246        -2.54246
               8         825.659         825.659    -63.3897E-03    -63.3897E-03        -1.46184        -1.46184
               9         863.299         863.299        -41.7632        -41.7632         19.3590         19.3590
              10         876.698         876.698         86.2099         86.2099     986.772E-03     986.772E-03
              11         828.840         828.840    -53.9677E-03    -53.9677E-03        -1.73676        -1.73676
              12         819.666         819.666     5.45611E-03     5.45611E-03     5.76875E-03     5.76875E-03
              13         770.592         770.592         234.340         234.340        -51.0690        -51.0690
              14     1.25292E+03     1.25292E+03         173.474         173.474        -202.541        -202.541
              15         862.367         862.367        -42.0290        -42.0290        -20.5077        -20.5077
              16         825.763         825.763    -66.0601E-03    -66.0601E-03         1.46327         1.46327
              17         876.372         876.372         87.2963         87.2963        -2.50355        -2.50355
              18         770.597         770.597         234.334         234.334         51.0572         51.0572
              19         662.575         662.575         15.9706         15.9706        -2.53923        -2.53923
              20     1.25291E+03     1.25291E+03         173.473         173.473         202.541         202.541
              21        -13.4759        -13.4759        -578.341        -578.341     501.593E-03     501.593E-03
              22         679.596         679.596         154.754         154.754        -332.578        -332.578
              23     2.09027E+03     2.09027E+03         133.621         133.621     237.034E-03     237.034E-03
              24         690.094         690.094         159.299         159.299         337.213         337.213
              25         691.343         691.343         159.485         159.485         337.880         337.880
              26         667.275         667.275         152.589         152.589        -329.055        -329.055
              27     2.09437E+03     2.09437E+03         132.183         132.183         9.73045         9.73045
              28        -13.5704        -13.5704        -580.856        -580.856     544.221E-03     544.221E-03
              29         845.503         845.503        -32.1883        -32.1883        -20.6840        -20.6840
              30         836.184         836.184        -27.0886        -27.0886        -22.6962        -22.6962
              31         828.792         828.792        -21.7298        -21.7298        -22.7894        -22.7894
              32         823.294         823.294        -16.8122        -16.8122        -21.7381        -21.7381
              33         819.379         819.379        -12.5759        -12.5759        -20.1208        -20.1208
              34         816.697         816.697        -9.04952        -9.04952        -18.3083        -18.3083
              35         814.932         814.932        -6.16247        -6.16247        -16.5083        -16.5083
              36         813.837         813.837        -3.82408        -3.82408        -14.8237        -14.8237
