********************************************************************************
Field Output Report, written Thu Feb 22 21:47:39 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      1: Step Time =   0.1000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1         172.702         172.702        -8.08756        -8.08756        -3.45165        -3.45165
               2         164.227         164.227     229.315E-03     229.315E-03    -10.4873E-03    -10.4873E-03
               3         164.259         164.259     1.05453E-03     1.05453E-03    -1.18435E-03    -1.18435E-03
               4         166.018         166.018    -10.6856E-03    -10.6856E-03     351.853E-03     351.853E-03
               5         172.771         172.771        -8.05824        -8.05824         3.32246         3.32246
               6         164.227         164.227     229.348E-03     229.348E-03     10.4864E-03     10.4864E-03
               7         132.146         132.146         3.70861         3.70861    -512.819E-03    -512.819E-03
               8         165.404         165.404    -13.0664E-03    -13.0664E-03    -295.688E-03    -295.688E-03
               9         173.058         173.058        -8.42872        -8.42872         3.80421         3.80421
              10         175.590         175.590         17.3356         17.3356     201.550E-03     201.550E-03
              11         166.051         166.051    -11.0993E-03    -11.0993E-03    -351.855E-03    -351.855E-03
              12         164.259         164.259     1.05475E-03     1.05475E-03     1.18459E-03     1.18459E-03
              13         154.429         154.429         46.9724         46.9724        -10.2436        -10.2436
              14         251.324         251.324         34.9293         34.9293        -40.6913        -40.6913
              15         172.873         172.873        -8.48370        -8.48370        -4.03599        -4.03599
              16         165.424         165.424    -13.5812E-03    -13.5812E-03     295.999E-03     295.999E-03
              17         175.524         175.524         17.5537         17.5537    -508.555E-03    -508.555E-03
              18         154.429         154.429         46.9710         46.9710         10.2412         10.2412
              19         132.646         132.646         3.22192         3.22192    -512.228E-03    -512.228E-03
              20         251.324         251.324         34.9293         34.9293         40.6912         40.6912
              21        -2.68034        -2.68034        -116.646        -116.646     109.588E-03     109.588E-03
              22         135.910         135.910         30.1813         30.1813        -66.0378        -66.0378
              23         419.464         419.464         27.4310         27.4310     48.8815E-03     48.8815E-03
              24         138.011         138.011         31.0944         31.0944         66.9630         66.9630
              25         138.265         138.265         31.1299         31.1299         67.0972         67.0972
              26         133.439         133.439         29.7373         29.7373        -65.3319        -65.3319
              27         420.291         420.291         27.1456         27.1456         1.93612         1.93612
              28        -2.69897        -2.69897        -117.159        -117.159     118.118E-03     118.118E-03
              29         169.485         169.485        -6.50481        -6.50481        -4.09208        -4.09208
              30         167.615         167.615        -5.48269        -5.48269        -4.51315        -4.51315
              31         166.127         166.127        -4.40487        -4.40487        -4.54599        -4.54599
              32         165.017         165.017        -3.41346        -3.41346        -4.34569        -4.34569
              33         164.225         164.225        -2.55790        -2.55790        -4.02875        -4.02875
              34         163.681         163.681        -1.84471        -1.84471        -3.67029        -3.67029
              35         163.322         163.322        -1.26010        -1.26010        -3.31264        -3.31264
