********************************************************************************
Field Output Report, written Thu Feb 22 21:47:42 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      8: Step Time =   0.8000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     1.37612E+03     1.37612E+03        -63.7401        -63.7401        -28.6668        -28.6668
               2     1.30930E+03     1.30930E+03         1.75320         1.75320    -80.5693E-03    -80.5693E-03
               3     1.30952E+03     1.30952E+03     8.93242E-03     8.93242E-03    -9.04766E-03    -9.04766E-03
               4     1.32419E+03     1.32419E+03    -81.1918E-03    -81.1918E-03         2.75270         2.75270
               5     1.37668E+03     1.37668E+03        -63.5173        -63.5173         27.6463         27.6463
               6     1.30930E+03     1.30930E+03         1.75345         1.75345     80.5617E-03     80.5617E-03
               7     1.05543E+03     1.05543E+03         29.1510         29.1510        -4.04239        -4.04239
               8     1.31943E+03     1.31943E+03    -99.2404E-03    -99.2404E-03        -2.31936        -2.31936
               9     1.37891E+03     1.37891E+03        -66.3730        -66.3730         31.3754         31.3754
              10     1.40123E+03     1.40123E+03         137.384         137.384         1.55411         1.55411
              11     1.32445E+03     1.32445E+03    -84.6476E-03    -84.6476E-03        -2.75228        -2.75228
              12     1.30952E+03     1.30952E+03     8.93444E-03     8.93444E-03     9.04971E-03     9.04971E-03
              13     1.23109E+03     1.23109E+03         374.321         374.321        -81.5324        -81.5324
              14     2.00024E+03     2.00024E+03         276.167         276.167        -322.971        -322.971
              15     1.37741E+03     1.37741E+03        -66.7875        -66.7875        -33.2011        -33.2011
              16     1.31959E+03     1.31959E+03    -103.628E-03    -103.628E-03         2.32150         2.32150
              17     1.40071E+03     1.40071E+03         139.117         139.117        -3.95935        -3.95935
              18     1.23110E+03     1.23110E+03         374.310         374.310         81.5135         81.5135
              19     1.05932E+03     1.05932E+03         25.3885         25.3885        -4.03691        -4.03691
              20     2.00024E+03     2.00024E+03         276.167         276.167         322.970         322.970
              21        -21.6485        -21.6485        -919.556        -919.556     747.688E-03     747.688E-03
              22     1.08731E+03     1.08731E+03         252.123         252.123        -534.912        -534.912
              23     3.33614E+03     3.33614E+03         209.701         209.701     370.689E-03     370.689E-03
              24     1.10409E+03     1.10409E+03         259.371         259.371         542.338         542.338
              25     1.10606E+03     1.10606E+03         259.678         259.678         543.401         543.401
              26     1.06763E+03     1.06763E+03         248.726         248.726        -529.282        -529.282
              27     3.34266E+03     3.34266E+03         207.390         207.390         15.6255         15.6255
              28        -21.8013        -21.8013        -923.523        -923.523     815.865E-03     815.865E-03
              29     1.35051E+03     1.35051E+03        -51.1056        -51.1056        -33.3592        -33.3592
              30     1.33564E+03     1.33564E+03        -42.9592        -42.9592        -36.4682        -36.4682
