********************************************************************************
Field Output Report, written Thu Feb 22 21:47:42 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      9: Step Time =   0.9000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     9.51519E-03     9.51519E-03    -3.41565E-03    -3.41565E-03    -517.890E-06    -517.890E-06
               2     8.91887E-03     8.91887E-03    -2.82553E-03    -2.82553E-03    -1.43971E-06    -1.43971E-06
               3     8.92412E-03     8.92412E-03    -2.83782E-03    -2.83782E-03    -161.546E-09    -161.546E-09
               4     9.02492E-03     9.02492E-03    -2.87042E-03    -2.87042E-03     49.3171E-06     49.3171E-06
               5     9.51857E-03     9.51857E-03    -3.41537E-03    -3.41537E-03     499.581E-06     499.581E-06
               6     8.91887E-03     8.91887E-03    -2.82552E-03    -2.82552E-03     1.43958E-06     1.43958E-06
               7     7.13131E-03     7.13131E-03    -2.08955E-03    -2.08955E-03    -72.5013E-06    -72.5013E-06
               8     8.99261E-03     8.99261E-03    -2.86025E-03    -2.86025E-03    -41.5689E-06    -41.5689E-06
               9     9.53985E-03     9.53985E-03    -3.43955E-03    -3.43955E-03     566.289E-06     566.289E-06
              10     9.25296E-03     9.25296E-03    -2.10157E-03    -2.10157E-03     27.7851E-06     27.7851E-06
              11     9.02667E-03     9.02667E-03    -2.87100E-03    -2.87100E-03    -49.3085E-06    -49.3085E-06
              12     8.92411E-03     8.92411E-03    -2.83781E-03    -2.83781E-03     161.583E-09     161.583E-09
              13     7.57847E-03     7.57847E-03    -117.124E-06    -117.124E-06    -1.46429E-03    -1.46429E-03
              14     13.0302E-03     13.0302E-03    -2.45389E-03    -2.45389E-03    -5.79811E-03    -5.79811E-03
              15     9.53049E-03     9.53049E-03    -3.43909E-03    -3.43909E-03    -599.028E-06    -599.028E-06
              16     8.99377E-03     8.99377E-03    -2.86065E-03    -2.86065E-03     41.6066E-06     41.6066E-06
              17     9.24570E-03     9.24570E-03    -2.08865E-03    -2.08865E-03    -70.8851E-06    -70.8851E-06
              18     7.57854E-03     7.57854E-03    -117.214E-06    -117.214E-06     1.46396E-03     1.46396E-03
              19     7.16587E-03     7.16587E-03    -2.12348E-03    -2.12348E-03    -72.4008E-06    -72.4008E-06
              20     13.0302E-03     13.0302E-03    -2.45389E-03    -2.45389E-03     5.79810E-03     5.79810E-03
              21     1.84181E-03     1.84181E-03    -6.20964E-03    -6.20964E-03     13.1119E-06     13.1119E-06
              22     6.86334E-03     6.86334E-03    -628.238E-06    -628.238E-06    -9.63026E-03    -9.63026E-03
              23     22.2759E-03     22.2759E-03    -5.80674E-03    -5.80674E-03     6.61204E-06     6.61204E-06
