********************************************************************************
Field Output Report, written Thu Feb 22 21:47:41 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      7: Step Time =   0.7000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     1.20479E+03     1.20479E+03        -55.8908        -55.8908        -24.9531        -24.9531
               2     1.14620E+03     1.14620E+03         1.54398         1.54398    -70.9065E-03    -70.9065E-03
               3     1.14640E+03     1.14640E+03     7.75735E-03     7.75735E-03    -7.96892E-03    -7.96892E-03
               4     1.15916E+03     1.15916E+03    -71.5461E-03    -71.5461E-03         2.41626         2.41626
               5     1.20528E+03     1.20528E+03        -55.6944        -55.6944         24.0585         24.0585
               6     1.14620E+03     1.14620E+03         1.54421         1.54421     70.8999E-03     70.8999E-03
               7         923.720         923.720         25.5710         25.5710        -3.54451        -3.54451
               8     1.15497E+03     1.15497E+03    -87.4603E-03    -87.4603E-03        -2.03512        -2.03512
               9     1.20723E+03     1.20723E+03        -58.2065        -58.2065         27.3369         27.3369
              10     1.22651E+03     1.22651E+03         120.371         120.371         1.36702         1.36702
              11     1.15939E+03     1.15939E+03    -74.5520E-03    -74.5520E-03        -2.41595        -2.41595
              12     1.14640E+03     1.14640E+03     7.75906E-03     7.75906E-03     7.97070E-03     7.97070E-03
              13     1.07775E+03     1.07775E+03         327.712         327.712        -71.3927        -71.3927
              14     1.75150E+03     1.75150E+03         242.050         242.050        -282.918        -282.918
              15     1.20592E+03     1.20592E+03        -58.5722        -58.5722        -28.9379        -28.9379
              16     1.15512E+03     1.15512E+03    -91.2660E-03    -91.2660E-03         2.03704         2.03704
              17     1.22605E+03     1.22605E+03         121.889         121.889        -3.47788        -3.47788
              18     1.07775E+03     1.07775E+03         327.703         327.703         71.3762         71.3762
              19         927.139         927.139         22.2627         22.2627        -3.53980        -3.53980
              20     1.75150E+03     1.75150E+03         242.050         242.050         282.918         282.918
              21        -18.9172        -18.9172        -806.294        -806.294     670.166E-03     670.166E-03
              22         951.415         951.415         219.298         219.298        -467.242        -467.242
              23     2.92153E+03     2.92153E+03         184.670         184.670     326.828E-03     326.828E-03
              24         966.104         966.104         225.647         225.647         473.737         473.737
              25         967.838         967.838         225.913         225.913         474.668         474.668
              26         934.189         934.189         216.307         216.307        -462.313        -462.313
              27     2.92725E+03     2.92725E+03         182.651         182.651         13.6560         13.6560
              28        -19.0505        -19.0505        -809.781        -809.781     729.829E-03     729.829E-03
              29     1.18236E+03     1.18236E+03        -44.8322        -44.8322        -29.1124        -29.1124
              30     1.16934E+03     1.16934E+03        -37.7003        -37.7003        -31.8649        -31.8649
              31     1.15903E+03     1.15903E+03        -30.2188        -30.2188        -31.9460        -31.9460
              32     1.15136E+03     1.15136E+03        -23.3614        -23.3614        -30.4398        -30.4398
