********************************************************************************
Field Output Report, written Sat Feb 24 11:10:48 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      8: Step Time =   0.5714

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1         984.218         984.218        -45.7500        -45.7500        -20.2325        -20.2325
               2         936.263         936.263         1.27091         1.27091    -58.3145E-03    -58.3145E-03
               3         936.431         936.431     6.26969E-03     6.26969E-03    -6.56053E-03    -6.56053E-03
               4         946.772         946.772    -58.9468E-03    -58.9468E-03         1.98054         1.98054
               5         984.618         984.618        -45.5881        -45.5881         19.5006         19.5006
               6         936.262         936.262         1.27109         1.27109     58.3092E-03     58.3092E-03
               7         754.288         754.288         20.9417         20.9417        -2.90130        -2.90130
               8         943.333         943.333    -72.0669E-03    -72.0669E-03        -1.66733        -1.66733
               9         986.224         986.224        -47.6528        -47.6528         22.1931         22.1931
              10     1.00169E+03     1.00169E+03         98.4315         98.4315         1.12351         1.12351
              11         946.957         946.957    -61.3817E-03    -61.3817E-03        -1.98034        -1.98034
              12         936.430         936.430     6.27104E-03     6.27104E-03     6.56196E-03     6.56196E-03
              13         880.361         880.361         267.711         267.711        -58.3343        -58.3343
              14     1.43115E+03     1.43115E+03         198.018         198.018        -231.289        -231.289
              15         985.157         985.157        -47.9547        -47.9547        -23.5037        -23.5037
              16         943.452         943.452    -75.1384E-03    -75.1384E-03         1.66894         1.66894
              17     1.00131E+03     1.00131E+03         99.6722         99.6722        -2.85328        -2.85328
              18         880.367         880.367         267.704         267.704         58.3208         58.3208
              19         757.093         757.093         18.2240         18.2240        -2.89755        -2.89755
              20     1.43115E+03     1.43115E+03         198.018         198.018         231.289         231.289
              21        -15.4159        -15.4159        -659.973        -659.973     563.879E-03     563.879E-03
              22         776.678         776.678         177.635         177.635        -380.567        -380.567
              23     2.38746E+03     2.38746E+03         152.006         152.006     269.417E-03     269.417E-03
              24         788.673         788.673         182.825         182.825         385.866         385.866
              25         790.097         790.097         183.039         183.039         386.628         386.628
              26         762.604         762.604         175.172         175.172        -376.542        -376.542
              27     2.39215E+03     2.39215E+03         150.361         150.361         11.1303         11.1303
              28        -15.5242        -15.5242        -662.837        -662.837     612.592E-03     612.592E-03
              29         965.898         965.898        -36.7190        -36.7190        -23.6841        -23.6841
              30         955.255         955.255        -30.8930        -30.8930        -25.9649        -25.9649
              31         946.817         946.817        -24.7747        -24.7747        -26.0569        -26.0569
              32         940.542         940.542        -19.1626        -19.1626        -24.8454        -24.8454
              33         936.077         936.077        -14.3294        -14.3294        -22.9905        -22.9905
              34         933.021         933.021        -10.3073        -10.3073        -20.9150        -20.9150
              35         931.010         931.010        -7.01505        -7.01505        -18.8555        -18.8555
              36         929.763         929.763        -4.34902        -4.34902        -16.9290        -16.9290
