********************************************************************************
Field Output Report, written Sat Feb 24 11:10:48 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      9: Step Time =   0.6429

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     6.80689E-03     6.80689E-03    -2.44455E-03    -2.44455E-03    -365.007E-06    -365.007E-06
               2     6.37863E-03     6.37863E-03    -2.02065E-03    -2.02065E-03    -1.04375E-06    -1.04375E-06
               3     6.38248E-03     6.38248E-03    -2.02959E-03    -2.02959E-03    -117.358E-09    -117.358E-09
               4     6.45343E-03     6.45343E-03    -2.05255E-03    -2.05255E-03     35.5150E-06     35.5150E-06
               5     6.80928E-03     6.80928E-03    -2.44433E-03    -2.44433E-03     351.868E-06     351.868E-06
               6     6.37862E-03     6.37862E-03    -2.02065E-03    -2.02065E-03     1.04366E-06     1.04366E-06
               7     5.09668E-03     5.09668E-03    -1.49263E-03    -1.49263E-03    -52.0660E-06    -52.0660E-06
               8     6.43008E-03     6.43008E-03    -2.04521E-03    -2.04521E-03    -29.9065E-06    -29.9065E-06
               9     6.82465E-03     6.82465E-03    -2.46182E-03    -2.46182E-03     400.097E-06     400.097E-06
              10     6.61473E-03     6.61473E-03    -1.50080E-03    -1.50080E-03     20.1168E-06     20.1168E-06
              11     6.45469E-03     6.45469E-03    -2.05297E-03    -2.05297E-03    -35.5108E-06    -35.5108E-06
              12     6.38248E-03     6.38248E-03    -2.02959E-03    -2.02959E-03     117.383E-09     117.383E-09
              13     5.42010E-03     5.42010E-03    -83.5185E-06    -83.5185E-06    -1.04788E-03    -1.04788E-03
              14     9.32388E-03     9.32388E-03    -1.75285E-03    -1.75285E-03    -4.15355E-03    -4.15355E-03
              15     6.81802E-03     6.81802E-03    -2.46155E-03    -2.46155E-03    -423.616E-06    -423.616E-06
              16     6.43090E-03     6.43090E-03    -2.04549E-03    -2.04549E-03     29.9350E-06     29.9350E-06
              17     6.60952E-03     6.60952E-03    -1.49155E-03    -1.49155E-03    -51.1394E-06    -51.1394E-06
              18     5.42015E-03     5.42015E-03    -83.5824E-06    -83.5824E-06     1.04764E-03     1.04764E-03
              19     5.12162E-03     5.12162E-03    -1.51716E-03    -1.51716E-03    -51.9978E-06    -51.9978E-06
              20     9.32388E-03     9.32388E-03    -1.75285E-03    -1.75285E-03     4.15354E-03     4.15354E-03
              21     1.32359E-03     1.32359E-03    -4.45963E-03    -4.45963E-03     9.96649E-06     9.96649E-06
              22     4.90868E-03     4.90868E-03    -467.570E-06    -467.570E-06    -6.84838E-03    -6.84838E-03
              23     15.9405E-03     15.9405E-03    -4.14175E-03    -4.14175E-03     4.81599E-06     4.81599E-06
