********************************************************************************
Field Output Report, written Sat Feb 24 11:10:48 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment     10: Step Time =   0.7143

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     7.56002E-03     7.56002E-03    -2.71468E-03    -2.71468E-03    -407.085E-06    -407.085E-06
               2     7.08489E-03     7.08489E-03    -2.24442E-03    -2.24442E-03    -1.15495E-06    -1.15495E-06
               3     7.08914E-03     7.08914E-03    -2.25430E-03    -2.25430E-03    -129.786E-09    -129.786E-09
               4     7.16830E-03     7.16830E-03    -2.27992E-03    -2.27992E-03     39.3717E-06     39.3717E-06
               5     7.56268E-03     7.56268E-03    -2.71444E-03    -2.71444E-03     392.505E-06     392.505E-06
               6     7.08489E-03     7.08489E-03    -2.24442E-03    -2.24442E-03     1.15484E-06     1.15484E-06
               7     5.66209E-03     5.66209E-03    -1.65845E-03    -1.65845E-03    -57.7645E-06    -57.7645E-06
               8     7.14244E-03     7.14244E-03    -2.27178E-03    -2.27178E-03    -33.1630E-06    -33.1630E-06
               9     7.57971E-03     7.57971E-03    -2.73381E-03    -2.73381E-03     445.913E-06     445.913E-06
              10     7.34801E-03     7.34801E-03    -1.66766E-03    -1.66766E-03     22.2681E-06     22.2681E-06
              11     7.16970E-03     7.16970E-03    -2.28038E-03    -2.28038E-03    -39.3664E-06    -39.3664E-06
              12     7.08914E-03     7.08914E-03    -2.25430E-03    -2.25430E-03     129.815E-09     129.815E-09
              13     6.02019E-03     6.02019E-03    -92.8421E-06    -92.8421E-06    -1.16371E-03    -1.16371E-03
              14     10.3547E-03     10.3547E-03    -1.94759E-03    -1.94759E-03    -4.61134E-03    -4.61134E-03
              15     7.57232E-03     7.57232E-03    -2.73349E-03    -2.73349E-03    -472.003E-06    -472.003E-06
              16     7.14335E-03     7.14335E-03    -2.27209E-03    -2.27209E-03     33.1942E-06     33.1942E-06
              17     7.34222E-03     7.34222E-03    -1.65738E-03    -1.65738E-03    -56.6644E-06    -56.6644E-06
              18     6.02025E-03     6.02025E-03    -92.9132E-06    -92.9132E-06     1.16344E-03     1.16344E-03
              19     5.68972E-03     5.68972E-03    -1.68561E-03    -1.68561E-03    -57.6876E-06    -57.6876E-06
              20     10.3547E-03     10.3547E-03    -1.94759E-03    -1.94759E-03     4.61132E-03     4.61132E-03
              21     1.46818E-03     1.46818E-03    -4.94766E-03    -4.94766E-03     10.8878E-06     10.8878E-06
              22     5.45217E-03     5.45217E-03    -513.689E-06    -513.689E-06    -7.61876E-03    -7.61876E-03
              23     17.7026E-03     17.7026E-03    -4.60381E-03    -4.60381E-03     5.32216E-06     5.32216E-06
