********************************************************************************
Field Output Report, written Sat Feb 24 11:10:48 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment     10: Step Time =   0.7143

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     1.22927E+03     1.22927E+03        -57.0143        -57.0143        -25.4814        -25.4814
               2     1.16951E+03     1.16951E+03         1.57404         1.57404    -72.2939E-03    -72.2939E-03
               3     1.16971E+03     1.16971E+03     7.92419E-03     7.92419E-03    -8.12394E-03    -8.12394E-03
               4     1.18275E+03     1.18275E+03    -72.9328E-03    -72.9328E-03         2.46446         2.46446
               5     1.22977E+03     1.22977E+03        -56.8140        -56.8140         24.5688         24.5688
               6     1.16951E+03     1.16951E+03         1.57427         1.57427     72.2872E-03     72.2872E-03
               7         942.539         942.539         26.0835         26.0835        -3.61576        -3.61576
               8     1.17847E+03     1.17847E+03    -89.1541E-03    -89.1541E-03        -2.07583        -2.07583
               9     1.23177E+03     1.23177E+03        -59.3754        -59.3754         27.9118         27.9118
              10     1.25147E+03     1.25147E+03         122.805         122.805         1.39387         1.39387
              11     1.18298E+03     1.18298E+03    -76.0027E-03    -76.0027E-03        -2.46414        -2.46414
              12     1.16971E+03     1.16971E+03     7.92595E-03     7.92595E-03     8.12575E-03     8.12575E-03
              13     1.09966E+03     1.09966E+03         334.374         334.374        -72.8422        -72.8422
              14     1.78706E+03     1.78706E+03         246.931         246.931        -288.646        -288.646
              15     1.23043E+03     1.23043E+03        -59.7482        -59.7482        -29.5450        -29.5450
              16     1.17862E+03     1.17862E+03    -93.0423E-03    -93.0423E-03         2.07779         2.07779
              17     1.25101E+03     1.25101E+03         124.353         124.353        -3.54690        -3.54690
              18     1.09967E+03     1.09967E+03         334.364         334.364         72.8253         72.8253
              19         946.026         946.026         22.7101         22.7101        -3.61095        -3.61095
              20     1.78706E+03     1.78706E+03         246.931         246.931         288.645         288.645
              21        -19.3070        -19.3070        -822.504        -822.504     681.517E-03     681.517E-03
              22         970.829         970.829         223.965         223.965        -476.895        -476.895
              23     2.98080E+03     2.98080E+03         188.266         188.266     333.138E-03     333.138E-03
              24         985.817         985.817         230.442         230.442         483.523         483.523
              25         987.585         987.585         230.714         230.714         484.473         484.473
              26         953.252         953.252         220.915         220.915        -471.866        -471.866
              27     2.98663E+03     2.98663E+03         186.205         186.205         13.9371         13.9371
              28        -19.4430        -19.4430        -826.060        -826.060     742.397E-03     742.397E-03
              29     1.20640E+03     1.20640E+03        -45.7305        -45.7305        -29.7177        -29.7177
              30     1.19311E+03     1.19311E+03        -38.4535        -38.4535        -32.5218        -32.5218
              31     1.18259E+03     1.18259E+03        -30.8208        -30.8208        -32.6009        -32.6009
              32     1.17477E+03     1.17477E+03        -23.8255        -23.8255        -31.0615        -31.0615
