********************************************************************************
Field Output Report, written Sat Feb 24 11:10:49 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment     12: Step Time =   0.8571

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     1.47393E+03     1.47393E+03        -68.2107        -68.2107        -30.8054        -30.8054
               2     1.40243E+03     1.40243E+03         1.87152         1.87152    -86.0399E-03    -86.0399E-03
               3     1.40266E+03     1.40266E+03     9.61071E-03     9.61071E-03    -9.65761E-03    -9.65761E-03
               4     1.41843E+03     1.41843E+03    -86.6456E-03    -86.6456E-03         2.94399         2.94399
               5     1.47454E+03     1.47454E+03        -67.9729        -67.9729         29.7131         29.7131
               6     1.40242E+03     1.40242E+03         1.87179         1.87179     86.0318E-03     86.0318E-03
               7     1.13066E+03     1.13066E+03         31.1886         31.1886        -4.32596        -4.32596
               8     1.41334E+03     1.41334E+03    -105.899E-03    -105.899E-03        -2.48107        -2.48107
               9     1.47692E+03     1.47692E+03        -71.0234        -71.0234         33.6979         33.6979
              10     1.50101E+03     1.50101E+03         147.086         147.086         1.66012         1.66012
              11     1.41871E+03     1.41871E+03    -90.3607E-03    -90.3607E-03        -2.94351        -2.94351
              12     1.40266E+03     1.40266E+03     9.61292E-03     9.61292E-03     9.65982E-03     9.65982E-03
              13     1.31865E+03     1.31865E+03         400.931         400.931        -87.3198        -87.3198
              14     2.14222E+03     2.14222E+03         295.611         295.611        -345.817        -345.817
              15     1.47531E+03     1.47531E+03        -71.4653        -71.4653        -35.6515        -35.6515
              16     1.41352E+03     1.41352E+03    -110.623E-03    -110.623E-03         2.48334         2.48334
              17     1.50046E+03     1.50046E+03         148.942         148.942        -4.23278        -4.23278
              18     1.31866E+03     1.31866E+03         400.919         400.919         87.2996         87.2996
              19     1.13482E+03     1.13482E+03         27.1686         27.1686        -4.32003        -4.32003
              20     2.14222E+03     2.14222E+03         295.611         295.611         345.816         345.816
              21        -23.2124        -23.2124        -984.066        -984.066     789.976E-03     789.976E-03
              22     1.16495E+03     1.16495E+03         271.044         271.044        -573.680        -573.680
              23     3.57275E+03     3.57275E+03         223.860         223.860     395.454E-03     395.454E-03
              24     1.18293E+03     1.18293E+03         278.804         278.804         581.639         581.639
              25     1.18504E+03     1.18504E+03         279.135         279.135         582.777         582.777
              26     1.14388E+03     1.14388E+03         267.418         267.418        -567.649        -567.649
              27     3.57973E+03     3.57973E+03         221.381         221.381         16.7529         16.7529
              28        -23.3765        -23.3765        -988.304        -988.304     863.018E-03     863.018E-03
              29     1.44651E+03     1.44651E+03        -54.6761        -54.6761        -35.7956        -35.7956
              30     1.43058E+03     1.43058E+03        -45.9504        -45.9504        -39.1043        -39.1043
