********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      5: Step Time =   0.3571

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1         615.888         615.888        -28.7249        -28.7249        -12.5014        -12.5014
               2         585.781         585.781     805.419E-03     805.419E-03    -36.9011E-03    -36.9011E-03
               3         585.891         585.891     3.85100E-03     3.85100E-03    -4.15863E-03    -4.15863E-03
               4         592.273         592.273    -37.4262E-03    -37.4262E-03         1.24632         1.24632
               5         616.136         616.136        -28.6221        -28.6221         12.0422         12.0422
               6         585.781         585.781     805.535E-03     805.535E-03     36.8977E-03     36.8977E-03
               7         471.668         471.668         13.1593         13.1593        -1.82153        -1.82153
               8         590.103         590.103    -45.7624E-03    -45.7624E-03        -1.04838        -1.04838
               9         617.149         617.149        -29.9273        -29.9273         13.7420         13.7420
              10         626.531         626.531         61.6971         61.6971     710.153E-03     710.153E-03
              11         592.389         592.389    -38.9279E-03    -38.9279E-03        -1.24625        -1.24625
              12         585.891         585.891     3.85181E-03     3.85181E-03     4.15950E-03     4.15950E-03
              13         550.818         550.818         167.519         167.519        -36.5158        -36.5158
              14         895.883         895.883         124.208         124.208        -144.906        -144.906
              15         616.484         616.484        -30.1194        -30.1194        -14.5651        -14.5651
              16         590.177         590.177    -47.6453E-03    -47.6453E-03         1.04944         1.04944
              17         626.297         626.297         62.4742         62.4742        -1.79820        -1.79820
              18         550.821         550.821         167.514         167.514         36.5074         36.5074
              19         473.436         473.436         11.4429         11.4429        -1.81929        -1.81929
              20         895.882         895.882         124.208         124.208         144.905         144.905
              21        -9.60686        -9.60686        -414.342        -414.342     370.045E-03     370.045E-03
              22         485.422         485.422         109.565         109.565        -236.953        -236.953
              23     1.49484E+03     1.49484E+03         96.3331         96.3331     171.165E-03     171.165E-03
              24         492.922         492.922         112.816         112.816         240.261         240.261
              25         493.821         493.821         112.947         112.947         240.739         240.739
              26         476.613         476.613         108.005         108.005        -234.434        -234.434
              27     1.49778E+03     1.49778E+03         95.3091         95.3091         6.93784         6.93784
              28        -9.67402        -9.67402        -416.151        -416.151     400.499E-03     400.499E-03
              29         604.420         604.420        -23.0767        -23.0767        -14.7175        -14.7175
              30         597.755         597.755        -19.4313        -19.4313        -16.1785        -16.1785
              31         592.464         592.464        -15.5959        -15.5959        -16.2631        -16.2631
              32         588.524         588.524        -12.0733        -12.0733        -15.5248        -15.5248
              33         585.716         585.716        -9.03688        -9.03688        -14.3778        -14.3778
              34         583.790         583.790        -6.50801        -6.50801        -13.0883        -13.0883
              35         582.521         582.521        -4.43671        -4.43671        -11.8056        -11.8056
              36         581.732         581.732        -2.75836        -2.75836        -10.6039        -10.6039
