********************************************************************************
Field Output Report, written Sat Feb 24 11:10:48 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      6: Step Time =   0.4286

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1         738.764         738.764        -34.4172        -34.4172        -15.0594        -15.0594
               2         702.690         702.690     962.038E-03     962.038E-03    -44.0987E-03    -44.0987E-03
               3         702.820         702.820     4.64858E-03     4.64858E-03    -4.96692E-03    -4.96692E-03
               4         710.511         710.511    -44.6742E-03    -44.6742E-03         1.49218         1.49218
               5         739.063         739.063        -34.2945        -34.2945         14.5090         14.5090
               6         702.690         702.690     962.177E-03     962.177E-03     44.0947E-03     44.0947E-03
               7         565.907         565.907         15.7628         15.7628        -2.18253        -2.18253
               8         707.916         707.916    -54.6229E-03    -54.6229E-03        -1.25553        -1.25553
               9         740.274         740.274        -35.8548        -35.8548         16.5420         16.5420
              10         751.646         751.646         73.9653         73.9653     848.987E-03     848.987E-03
              11         710.651         710.651    -46.4844E-03    -46.4844E-03        -1.49208        -1.49208
              12         702.820         702.820     4.64957E-03     4.64957E-03     4.96797E-03     4.96797E-03
              13         660.745         660.745         200.943         200.943        -43.7962        -43.7962
              14     1.07449E+03     1.07449E+03         148.870         148.870        -173.747        -173.747
              15         739.476         739.476        -36.0840        -36.0840        -17.5281        -17.5281
              16         708.005         708.005    -56.8971E-03    -56.8971E-03         1.25678         1.25678
              17         751.366         751.366         74.8972         74.8972        -2.15186        -2.15186
              18         660.749         660.749         200.937         200.937         43.7861         43.7861
              19         568.022         568.022         13.7102         13.7102        -2.17981        -2.17981
              20     1.07449E+03     1.07449E+03         148.870         148.870         173.746         173.746
              21        -11.5395        -11.5395        -496.465        -496.465     436.986E-03     436.986E-03
              22         582.510         582.510         132.063         132.063        -284.706        -284.706
              23     1.79273E+03     1.79273E+03         115.064         115.064     204.285E-03     204.285E-03
              24         591.509         591.509         135.962         135.962         288.677         288.677
              25         592.583         592.583         136.120         136.120         289.250         289.250
              26         571.944         571.944         130.199         130.199        -281.685        -281.685
              27     1.79625E+03     1.79625E+03         113.834         113.834         8.33293         8.33293
              28        -11.6203        -11.6203        -498.628        -498.628     473.528E-03     473.528E-03
              29         725.010         725.010        -27.6410        -27.6410        -17.6952        -17.6952
              30         717.018         717.018        -23.2681        -23.2681        -19.4341        -19.4341
              31         710.675         710.675        -18.6702        -18.6702        -19.5247        -19.5247
              32         705.954         705.954        -14.4492        -14.4492        -18.6312        -18.6312
              33         702.592         702.592        -10.8117        -10.8117        -17.2499        -17.2499
              34         700.287         700.287        -7.78312        -7.78312        -15.6994        -15.6994
              35         698.770         698.770        -5.30305        -5.30305        -14.1583        -14.1583
              36         697.826         697.826        -3.29387        -3.29387        -12.7154        -12.7154
