********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      2: Step Time =   0.1429

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     1.51714E-03     1.51714E-03    -545.332E-06    -545.332E-06    -78.9615E-06    -78.9615E-06
               2     1.42094E-03     1.42094E-03    -450.081E-06    -450.081E-06    -238.753E-09    -238.753E-09
               3     1.42185E-03     1.42185E-03    -452.140E-06    -452.140E-06    -26.9533E-09    -26.9533E-09
               4     1.43716E-03     1.43716E-03    -457.098E-06    -457.098E-06     8.01908E-06     8.01908E-06
               5     1.51765E-03     1.51765E-03    -545.269E-06    -545.269E-06     76.0154E-06     76.0154E-06
               6     1.42094E-03     1.42094E-03    -450.080E-06    -450.080E-06     238.731E-09     238.731E-09
               7     1.13381E-03     1.13381E-03    -331.720E-06    -331.720E-06    -11.6931E-06    -11.6931E-06
               8     1.43185E-03     1.43185E-03    -455.430E-06    -455.430E-06    -6.74009E-06    -6.74009E-06
               9     1.52115E-03     1.52115E-03    -549.257E-06    -549.257E-06     86.9880E-06     86.9880E-06
              10     1.47233E-03     1.47233E-03    -333.365E-06    -333.365E-06     4.58955E-06     4.58955E-06
              11     1.43744E-03     1.43744E-03    -457.192E-06    -457.192E-06    -8.01904E-06    -8.01904E-06
              12     1.42185E-03     1.42185E-03    -452.140E-06    -452.140E-06     26.9587E-09     26.9587E-09
              13     1.20746E-03     1.20746E-03    -18.4979E-06    -18.4979E-06    -233.711E-06    -233.711E-06
              14     2.07918E-03     2.07918E-03    -389.539E-06    -389.539E-06    -928.229E-06    -928.229E-06
              15     1.51970E-03     1.51970E-03    -549.222E-06    -549.222E-06    -92.2726E-06    -92.2726E-06
              16     1.43203E-03     1.43203E-03    -455.491E-06    -455.491E-06     6.74714E-06     6.74714E-06
              17     1.47115E-03     1.47115E-03    -331.295E-06    -331.295E-06    -11.5872E-06    -11.5872E-06
              18     1.20747E-03     1.20747E-03    -18.5121E-06    -18.5121E-06     233.657E-06     233.657E-06
              19     1.13947E-03     1.13947E-03    -337.299E-06    -337.299E-06    -11.6795E-06    -11.6795E-06
              20     2.07918E-03     2.07918E-03    -389.539E-06    -389.539E-06     928.226E-06     928.226E-06
              21     297.645E-06     297.645E-06    -1.00163E-03    -1.00163E-03     2.47823E-06     2.47823E-06
              22     1.09340E-03     1.09340E-03    -112.166E-06    -112.166E-06    -1.50834E-03    -1.50834E-03
              23     3.55508E-03     3.55508E-03    -917.637E-06    -917.637E-06     1.11194E-06     1.11194E-06
              24     1.10908E-03     1.10908E-03    -110.049E-06    -110.049E-06     1.52946E-03     1.52946E-03
