********************************************************************************
Field Output Report, written Sat Feb 24 11:10:49 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment     13: Step Time =   0.9286

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
              51     9.16466E-03     9.16466E-03    -2.88035E-03    -2.88035E-03    -102.184E-06    -102.184E-06
              52     9.16853E-03     9.16853E-03    -2.88316E-03    -2.88316E-03    -92.9601E-06    -92.9601E-06
              53     9.17217E-03     9.17217E-03    -2.88600E-03    -2.88600E-03    -84.4108E-06    -84.4108E-06
              54     9.17557E-03     9.17557E-03    -2.88884E-03    -2.88884E-03    -76.4795E-06    -76.4795E-06
              55     9.17874E-03     9.17874E-03    -2.89161E-03    -2.89161E-03    -69.1182E-06    -69.1182E-06
              56     9.18166E-03     9.18166E-03    -2.89429E-03    -2.89429E-03    -62.2847E-06    -62.2847E-06
              57     9.18434E-03     9.18434E-03    -2.89686E-03    -2.89686E-03    -55.9409E-06    -55.9409E-06
              58     9.18678E-03     9.18678E-03    -2.89929E-03    -2.89929E-03    -50.0511E-06    -50.0511E-06
              59     9.18900E-03     9.18900E-03    -2.90156E-03    -2.90156E-03    -44.5818E-06    -44.5818E-06
              60     9.19100E-03     9.19100E-03    -2.90367E-03    -2.90367E-03    -39.5000E-06    -39.5000E-06
              61     9.19278E-03     9.19278E-03    -2.90560E-03    -2.90560E-03    -34.7736E-06    -34.7736E-06
              62     9.19436E-03     9.19436E-03    -2.90736E-03    -2.90736E-03    -30.3707E-06    -30.3707E-06
              63     9.19575E-03     9.19575E-03    -2.90893E-03    -2.90893E-03    -26.2593E-06    -26.2593E-06
              64     9.19695E-03     9.19695E-03    -2.91032E-03    -2.91032E-03    -22.4075E-06    -22.4075E-06
              65     9.19798E-03     9.19798E-03    -2.91152E-03    -2.91152E-03    -18.7831E-06    -18.7831E-06
              66     9.19883E-03     9.19883E-03    -2.91253E-03    -2.91253E-03    -15.3539E-06    -15.3539E-06
              67     9.19952E-03     9.19952E-03    -2.91336E-03    -2.91336E-03    -12.0876E-06    -12.0876E-06
              68     9.20005E-03     9.20005E-03    -2.91401E-03    -2.91401E-03    -8.95165E-06    -8.95165E-06
              69     9.20043E-03     9.20043E-03    -2.91447E-03    -2.91447E-03    -5.91363E-06    -5.91363E-06
              70     9.20065E-03     9.20065E-03    -2.91474E-03    -2.91474E-03    -2.94900E-06    -2.94900E-06
              71     9.20217E-03     9.20217E-03    -2.91639E-03    -2.91639E-03    -1.60709E-06    -1.60709E-06
              72     9.20356E-03     9.20356E-03    -2.91793E-03    -2.91793E-03    -1.68264E-06    -1.68264E-06
              73     9.20492E-03     9.20492E-03    -2.91950E-03    -2.91950E-03    -1.71913E-06    -1.71913E-06
              74     9.20620E-03     9.20620E-03    -2.92105E-03    -2.92105E-03    -1.71462E-06    -1.71462E-06
              75     9.20734E-03     9.20734E-03    -2.92254E-03    -2.92254E-03    -1.66836E-06    -1.66836E-06
              76     9.20828E-03     9.20828E-03    -2.92393E-03    -2.92393E-03    -1.58032E-06    -1.58032E-06
              77     9.20898E-03     9.20898E-03    -2.92516E-03    -2.92516E-03    -1.45166E-06    -1.45166E-06
              78     9.20936E-03     9.20936E-03    -2.92620E-03    -2.92620E-03    -1.28425E-06    -1.28425E-06
              79     9.20939E-03     9.20939E-03    -2.92699E-03    -2.92699E-03    -1.08163E-06    -1.08163E-06
              80     9.20901E-03     9.20901E-03    -2.92752E-03    -2.92752E-03    -847.491E-09    -847.491E-09
              81     9.20819E-03     9.20819E-03    -2.92774E-03    -2.92774E-03    -588.946E-09    -588.946E-09
              82     9.20690E-03     9.20690E-03    -2.92763E-03    -2.92763E-03    -310.743E-09    -310.743E-09
              83     9.20624E-03     9.20624E-03    -2.92753E-03    -2.92753E-03    -305.022E-09    -305.022E-09
              84     9.20658E-03     9.20658E-03    -2.92763E-03    -2.92763E-03    -597.569E-09    -597.569E-09
              85     9.20715E-03     9.20715E-03    -2.92781E-03    -2.92781E-03    -910.294E-09    -910.294E-09
              86     9.20796E-03     9.20796E-03    -2.92807E-03    -2.92807E-03    -1.23648E-06    -1.23648E-06
              87     9.20901E-03     9.20901E-03    -2.92840E-03    -2.92840E-03    -1.58200E-06    -1.58200E-06
              88     9.21034E-03     9.21034E-03    -2.92882E-03    -2.92882E-03    -1.95169E-06    -1.95169E-06
              89     9.21196E-03     9.21196E-03    -2.92933E-03    -2.92933E-03    -2.35049E-06    -2.35049E-06
              90     9.21389E-03     9.21389E-03    -2.92993E-03    -2.92993E-03    -2.78332E-06    -2.78332E-06
              91     9.21616E-03     9.21616E-03    -2.93065E-03    -2.93065E-03    -3.25503E-06    -3.25503E-06
              92     9.21880E-03     9.21880E-03    -2.93148E-03    -2.93148E-03    -3.77038E-06    -3.77038E-06
              93     9.22185E-03     9.22185E-03    -2.93244E-03    -2.93244E-03    -4.33400E-06    -4.33400E-06
              94     9.22534E-03     9.22534E-03    -2.93355E-03    -2.93355E-03    -4.95023E-06    -4.95023E-06
              95     9.22932E-03     9.22932E-03    -2.93480E-03    -2.93480E-03    -5.62302E-06    -5.62302E-06
              96     9.23382E-03     9.23382E-03    -2.93622E-03    -2.93622E-03    -6.35576E-06    -6.35576E-06
              97     9.23891E-03     9.23891E-03    -2.93783E-03    -2.93783E-03    -7.15100E-06    -7.15100E-06
