********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      3: Step Time =   0.2143

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1         369.834         369.834        -17.2878        -17.2878        -7.44294        -7.44294
               2         351.716         351.716     487.753E-03     487.753E-03    -22.3245E-03    -22.3245E-03
               3         351.784         351.784     2.28267E-03     2.28267E-03    -2.51880E-03    -2.51880E-03
               4         355.580         355.580    -22.6981E-03    -22.6981E-03     751.212E-03     751.212E-03
               5         369.983         369.983        -17.2255        -17.2255         7.16668         7.16668
               6         351.716         351.716     487.823E-03     487.823E-03     22.3225E-03     22.3225E-03
               7         283.095         283.095         7.92410         7.92410        -1.09623        -1.09623
               8         354.270         354.270    -27.7551E-03    -27.7551E-03    -631.568E-03    -631.568E-03
               9         370.594         370.594        -18.0146        -18.0146         8.19346         8.19346
              10         376.111         376.111         37.0899         37.0899     429.306E-03     429.306E-03
              11         355.650         355.650    -23.5911E-03    -23.5911E-03    -751.196E-03    -751.196E-03
              12         351.784         351.784     2.28315E-03     2.28315E-03     2.51931E-03     2.51931E-03
              13         330.728         330.728         100.591         100.591        -21.9322        -21.9322
              14         538.097         538.097         74.7042         74.7042        -87.0834        -87.0834
              15         370.196         370.196        -18.1313        -18.1313        -8.68886        -8.68886
              16         354.314         354.314    -28.8700E-03    -28.8700E-03     632.220E-03     632.220E-03
              17         375.969         375.969         37.5568         37.5568        -1.08493        -1.08493
              18         330.730         330.730         100.588         100.588         21.9272         21.9272
              19         284.162         284.162         6.88700         6.88700        -1.09493        -1.09493
              20         538.097         538.097         74.7041         74.7041         87.0832         87.0832
              21        -5.75275        -5.75275        -249.354        -249.354     229.124E-03     229.124E-03
              22         291.245         291.245         65.1496         65.1496        -141.806        -141.806
              23         897.981         897.981         58.3414         58.3414     103.830E-03     103.830E-03
              24         295.747         295.747         67.1037         67.1037         143.789         143.789
              25         296.290         296.290         67.1808         67.1808         144.076         144.076
              26         285.955         285.955         64.2050         64.2050        -140.294        -140.294
              27         899.750         899.750         57.7286         57.7286         4.15507         4.15507
              28        -5.79283        -5.79283        -250.447        -250.447     247.400E-03     247.400E-03
              29         362.946         362.946        -13.8974        -13.8974        -8.79627        -8.79627
              30         358.942         358.942        -11.7085        -11.7085        -9.68711        -9.68711
              31         355.760         355.760        -9.40265        -9.40265        -9.74874        -9.74874
              32         353.389         353.389        -7.28307        -7.28307        -9.31340        -9.31340
              33         351.697         351.697        -5.45485        -5.45485        -8.63021        -8.63021
              34         350.536         350.536        -3.93146        -3.93146        -7.85961        -7.85961
              35         349.769         349.769        -2.68317        -2.68317        -7.09176        -7.09176
              36         349.292         349.292        -1.67128        -1.67128        -6.37174        -6.37174
