********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      4: Step Time =   0.2857

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
              52     2.82979E-03     2.82979E-03    -889.635E-06    -889.635E-06    -29.2553E-06    -29.2553E-06
              53     2.83092E-03     2.83092E-03    -890.519E-06    -890.519E-06    -26.5947E-06    -26.5947E-06
              54     2.83199E-03     2.83199E-03    -891.401E-06    -891.401E-06    -24.1230E-06    -24.1230E-06
              55     2.83298E-03     2.83298E-03    -892.266E-06    -892.266E-06    -21.8255E-06    -21.8255E-06
              56     2.83389E-03     2.83389E-03    -893.104E-06    -893.104E-06    -19.6895E-06    -19.6895E-06
              57     2.83474E-03     2.83474E-03    -893.907E-06    -893.907E-06    -17.7032E-06    -17.7032E-06
              58     2.83550E-03     2.83550E-03    -894.668E-06    -894.668E-06    -15.8561E-06    -15.8561E-06
              59     2.83620E-03     2.83620E-03    -895.381E-06    -895.381E-06    -14.1379E-06    -14.1379E-06
              60     2.83683E-03     2.83683E-03    -896.043E-06    -896.043E-06    -12.5387E-06    -12.5387E-06
              61     2.83739E-03     2.83739E-03    -896.651E-06    -896.651E-06    -11.0488E-06    -11.0488E-06
              62     2.83789E-03     2.83789E-03    -897.204E-06    -897.204E-06    -9.65836E-06    -9.65836E-06
              63     2.83833E-03     2.83833E-03    -897.699E-06    -897.699E-06    -8.35773E-06    -8.35773E-06
              64     2.83871E-03     2.83871E-03    -898.136E-06    -898.136E-06    -7.13712E-06    -7.13712E-06
              65     2.83903E-03     2.83903E-03    -898.515E-06    -898.515E-06    -5.98671E-06    -5.98671E-06
              66     2.83930E-03     2.83930E-03    -898.835E-06    -898.835E-06    -4.89659E-06    -4.89659E-06
              67     2.83952E-03     2.83952E-03    -899.097E-06    -899.097E-06    -3.85679E-06    -3.85679E-06
              68     2.83969E-03     2.83969E-03    -899.300E-06    -899.300E-06    -2.85731E-06    -2.85731E-06
              69     2.83981E-03     2.83981E-03    -899.446E-06    -899.446E-06    -1.88812E-06    -1.88812E-06
              70     2.83988E-03     2.83988E-03    -899.533E-06    -899.533E-06    -941.709E-09    -941.709E-09
              71     2.84037E-03     2.84037E-03    -900.063E-06    -900.063E-06    -513.347E-09    -513.347E-09
              72     2.84082E-03     2.84082E-03    -900.559E-06    -900.559E-06    -537.635E-09    -537.635E-09
              73     2.84126E-03     2.84126E-03    -901.064E-06    -901.064E-06    -549.480E-09    -549.480E-09
              74     2.84167E-03     2.84167E-03    -901.564E-06    -901.564E-06    -548.243E-09    -548.243E-09
              75     2.84204E-03     2.84204E-03    -902.046E-06    -902.046E-06    -533.676E-09    -533.676E-09
              76     2.84235E-03     2.84235E-03    -902.492E-06    -902.492E-06    -505.748E-09    -505.748E-09
              77     2.84258E-03     2.84258E-03    -902.890E-06    -902.890E-06    -464.808E-09    -464.808E-09
              78     2.84271E-03     2.84271E-03    -903.225E-06    -903.225E-06    -411.429E-09    -411.429E-09
              79     2.84272E-03     2.84272E-03    -903.482E-06    -903.482E-06    -346.720E-09    -346.720E-09
              80     2.84260E-03     2.84260E-03    -903.651E-06    -903.651E-06    -271.827E-09    -271.827E-09
              81     2.84234E-03     2.84234E-03    -903.722E-06    -903.722E-06    -189.002E-09    -189.002E-09
              82     2.84193E-03     2.84193E-03    -903.685E-06    -903.685E-06    -99.7503E-09    -99.7503E-09
              83     2.84172E-03     2.84172E-03    -903.650E-06    -903.650E-06    -97.9958E-09    -97.9958E-09
              84     2.84183E-03     2.84183E-03    -903.684E-06    -903.684E-06    -191.995E-09    -191.995E-09
              85     2.84201E-03     2.84201E-03    -903.741E-06    -903.741E-06    -292.360E-09    -292.360E-09
              86     2.84227E-03     2.84227E-03    -903.822E-06    -903.822E-06    -396.939E-09    -396.939E-09
              87     2.84261E-03     2.84261E-03    -903.929E-06    -903.929E-06    -507.564E-09    -507.564E-09
              88     2.84303E-03     2.84303E-03    -904.062E-06    -904.062E-06    -625.741E-09    -625.741E-09
              89     2.84354E-03     2.84354E-03    -904.224E-06    -904.224E-06    -753.014E-09    -753.014E-09
              90     2.84416E-03     2.84416E-03    -904.417E-06    -904.417E-06    -890.899E-09    -890.899E-09
              91     2.84488E-03     2.84488E-03    -904.645E-06    -904.645E-06    -1.04090E-06    -1.04090E-06
              92     2.84572E-03     2.84572E-03    -904.909E-06    -904.909E-06    -1.20448E-06    -1.20448E-06
              93     2.84669E-03     2.84669E-03    -905.214E-06    -905.214E-06    -1.38305E-06    -1.38305E-06
              94     2.84779E-03     2.84779E-03    -905.563E-06    -905.563E-06    -1.57792E-06    -1.57792E-06
