********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      3: Step Time =   0.2143

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     2.27474E-03     2.27474E-03    -817.546E-06    -817.546E-06    -118.907E-06    -118.907E-06
               2     2.13067E-03     2.13067E-03    -674.896E-06    -674.896E-06    -356.651E-09    -356.651E-09
               3     2.13202E-03     2.13202E-03    -677.970E-06    -677.970E-06    -40.2398E-09    -40.2398E-09
               4     2.15508E-03     2.15508E-03    -685.438E-06    -685.438E-06     12.0012E-06     12.0012E-06
               5     2.27552E-03     2.27552E-03    -817.454E-06    -817.454E-06     114.493E-06     114.493E-06
               6     2.13067E-03     2.13067E-03    -674.896E-06    -674.896E-06     356.619E-09     356.619E-09
               7     1.70046E-03     1.70046E-03    -497.576E-06    -497.576E-06    -17.5131E-06    -17.5131E-06
               8     2.14714E-03     2.14714E-03    -682.943E-06    -682.943E-06    -10.0898E-06    -10.0898E-06
               9     2.28074E-03     2.28074E-03    -823.414E-06    -823.414E-06     130.897E-06     130.897E-06
              10     2.20798E-03     2.20798E-03    -500.081E-06    -500.081E-06     6.85849E-06     6.85849E-06
              11     2.15550E-03     2.15550E-03    -685.578E-06    -685.578E-06    -12.0009E-06    -12.0009E-06
              12     2.13202E-03     2.13202E-03    -677.970E-06    -677.970E-06     40.2480E-09     40.2480E-09
              13     1.81055E-03     1.81055E-03    -27.7601E-06    -27.7601E-06    -350.384E-06    -350.384E-06
              14     3.11722E-03     3.11722E-03    -584.307E-06    -584.307E-06    -1.39122E-03    -1.39122E-03
              15     2.27856E-03     2.27856E-03    -823.356E-06    -823.356E-06    -138.811E-06    -138.811E-06
              16     2.14741E-03     2.14741E-03    -683.035E-06    -683.035E-06     10.1002E-06     10.1002E-06
              17     2.20622E-03     2.20622E-03    -496.979E-06    -496.979E-06    -17.3325E-06    -17.3325E-06
              18     1.81056E-03     1.81056E-03    -27.7814E-06    -27.7814E-06     350.303E-06     350.303E-06
              19     1.70892E-03     1.70892E-03    -505.918E-06    -505.918E-06    -17.4923E-06    -17.4923E-06
              20     3.11722E-03     3.11722E-03    -584.307E-06    -584.307E-06     1.39122E-03     1.39122E-03
              21     445.708E-06     445.708E-06    -1.50015E-03    -1.50015E-03     3.66042E-06     3.66042E-06
              22     1.63956E-03     1.63956E-03    -166.463E-06    -166.463E-06    -2.26545E-03    -2.26545E-03
              23     5.32987E-03     5.32987E-03    -1.37707E-03    -1.37707E-03     1.65877E-06     1.65877E-06
              24     1.66308E-03     1.66308E-03    -163.297E-06    -163.297E-06     2.29714E-03     2.29714E-03
