********************************************************************************
Field Output Report, written Sat Feb 24 11:10:48 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      8: Step Time =   0.5714

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     6.05313E-03     6.05313E-03    -2.17413E-03    -2.17413E-03    -323.230E-06    -323.230E-06
               2     5.67187E-03     5.67187E-03    -1.79673E-03    -1.79673E-03    -931.619E-09    -931.619E-09
               3     5.67533E-03     5.67533E-03    -1.80472E-03    -1.80472E-03    -104.809E-09    -104.809E-09
               4     5.73813E-03     5.73813E-03    -1.82505E-03    -1.82505E-03     31.6406E-06     31.6406E-06
               5     6.05524E-03     6.05524E-03    -2.17392E-03    -2.17392E-03     311.537E-06     311.537E-06
               6     5.67187E-03     5.67187E-03    -1.79673E-03    -1.79673E-03     931.533E-09     931.533E-09
               7     4.53108E-03     4.53108E-03    -1.32680E-03    -1.32680E-03    -46.3504E-06    -46.3504E-06
               8     5.71731E-03     5.71731E-03    -1.81850E-03    -1.81850E-03    -26.6369E-06    -26.6369E-06
               9     6.06895E-03     6.06895E-03    -2.18953E-03    -2.18953E-03     354.551E-06     354.551E-06
              10     5.88112E-03     5.88112E-03    -1.33397E-03    -1.33397E-03     17.9489E-06     17.9489E-06
              11     5.73925E-03     5.73925E-03    -1.82542E-03    -1.82542E-03    -31.6374E-06    -31.6374E-06
              12     5.67532E-03     5.67532E-03    -1.80472E-03    -1.80472E-03     104.832E-09     104.832E-09
              13     4.81957E-03     4.81957E-03    -74.2035E-06    -74.2035E-06    -931.935E-06    -931.935E-06
              14     8.29200E-03     8.29200E-03    -1.55811E-03    -1.55811E-03    -3.69502E-03    -3.69502E-03
              15     6.06307E-03     6.06307E-03    -2.18930E-03    -2.18930E-03    -375.489E-06    -375.489E-06
              16     5.71804E-03     5.71804E-03    -1.81874E-03    -1.81874E-03     26.6627E-06     26.6627E-06
              17     5.87648E-03     5.87648E-03    -1.32573E-03    -1.32573E-03    -45.5834E-06    -45.5834E-06
              18     4.81962E-03     4.81962E-03    -74.2604E-06    -74.2604E-06     931.719E-06     931.719E-06
              19     4.55332E-03     4.55332E-03    -1.34868E-03    -1.34868E-03    -46.2906E-06    -46.2906E-06
              20     8.29199E-03     8.29199E-03    -1.55810E-03    -1.55810E-03     3.69501E-03     3.69501E-03
              21     1.17852E-03     1.17852E-03    -3.97012E-03    -3.97012E-03     9.00840E-06     9.00840E-06
              22     4.36479E-03     4.36479E-03    -420.298E-06    -420.298E-06    -6.07985E-03    -6.07985E-03
              23     14.1765E-03     14.1765E-03    -3.68005E-03    -3.68005E-03     4.30422E-06     4.30422E-06
              24     4.42749E-03     4.42749E-03    -411.959E-06    -411.959E-06     6.16451E-03     6.16451E-03
