********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      2: Step Time =   0.1429

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1         246.657         246.657        -11.5430        -11.5430        -4.94258        -4.94258
               2         234.560         234.560     326.681E-03     326.681E-03    -14.9447E-03    -14.9447E-03
               3         234.606         234.606     1.51229E-03     1.51229E-03    -1.68714E-03    -1.68714E-03
               4         237.126         237.126    -15.2146E-03    -15.2146E-03     501.953E-03     501.953E-03
               5         246.756         246.756        -11.5012        -11.5012         4.75817         4.75817
               6         234.560         234.560     326.729E-03     326.729E-03     14.9433E-03     14.9433E-03
               7         188.761         188.761         5.29228         5.29228    -731.931E-03    -731.931E-03
               8         236.249         236.249    -18.6045E-03    -18.6045E-03    -421.895E-03    -421.895E-03
               9         247.164         247.164        -12.0292        -12.0292         5.44500         5.44500
              10         250.805         250.805         24.7506         24.7506     287.282E-03     287.282E-03
              11         237.173         237.173    -15.8071E-03    -15.8071E-03    -501.951E-03    -501.951E-03
              12         234.606         234.606     1.51261E-03     1.51261E-03     1.68747E-03     1.68747E-03
              13         220.565         220.565         67.0874         67.0874        -14.6291        -14.6291
              14         358.921         358.921         49.8629         49.8629        -58.1023        -58.1023
              15         246.900         246.900        -12.1075        -12.1075        -5.77579        -5.77579
              16         236.279         236.279    -19.3428E-03    -19.3428E-03     422.336E-03     422.336E-03
              17         250.710         250.710         25.0621         25.0621    -725.296E-03    -725.296E-03
              18         220.566         220.566         67.0855         67.0855         14.6257         14.6257
              19         189.474         189.474         4.59846         4.59846    -731.078E-03    -731.078E-03
              20         358.921         358.921         49.8628         49.8628         58.1022         58.1022
              21        -3.83135        -3.83135        -166.487        -166.487     155.124E-03     155.124E-03
              22         194.160         194.160         43.2354         43.2354        -94.4141        -94.4141
              23         599.015         599.015         39.0767         39.0767     69.6011E-03     69.6011E-03
              24         197.161         197.161         44.5392         44.5392         95.7361         95.7361
              25         197.524         197.524         44.5901         44.5901         95.9276         95.9276
              26         190.631         190.631         42.6028         42.6028        -93.4058        -93.4058
              27         600.197         600.197         38.6687         38.6687         2.76746         2.76746
              28        -3.85800        -3.85800        -167.217        -167.217     167.310E-03     167.310E-03
              29         242.062         242.062        -9.28219        -9.28219        -5.85272        -5.85272
              30         239.391         239.391        -7.82235        -7.82235        -6.45138        -6.45138
              31         237.268         237.268        -6.28355        -6.28355        -6.49611        -6.49611
              32         235.684         235.684        -4.86847        -4.86847        -6.20843        -6.20843
              33         234.554         234.554        -3.64753        -3.64753        -5.75465        -5.75465
              34         233.778         233.778        -2.62991        -2.62991        -5.24195        -5.24195
              35         233.265         233.265        -1.79587        -1.79587        -4.73065        -4.73065
