********************************************************************************
Field Output Report, written Sat Feb 24 11:10:48 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      7: Step Time =   0.5000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     5.29873E-03     5.29873E-03    -1.90341E-03    -1.90341E-03    -281.756E-06    -281.756E-06
               2     4.96462E-03     4.96462E-03    -1.57266E-03    -1.57266E-03    -818.540E-09    -818.540E-09
               3     4.96767E-03     4.96767E-03    -1.57969E-03    -1.57969E-03    -92.1406E-09    -92.1406E-09
               4     5.02239E-03     5.02239E-03    -1.59740E-03    -1.59740E-03     27.7486E-06     27.7486E-06
               5     5.30057E-03     5.30057E-03    -1.90322E-03    -1.90322E-03     271.511E-06     271.511E-06
               6     4.96462E-03     4.96462E-03    -1.57266E-03    -1.57266E-03     818.465E-09     818.465E-09
               7     3.96531E-03     3.96531E-03    -1.16097E-03    -1.16097E-03    -40.6177E-06    -40.6177E-06
               8     5.00412E-03     5.00412E-03    -1.59165E-03    -1.59165E-03    -23.3541E-06    -23.3541E-06
               9     5.31261E-03     5.31261E-03    -1.91692E-03    -1.91692E-03     309.275E-06     309.275E-06
              10     5.14717E-03     5.14717E-03    -1.16715E-03    -1.16715E-03     15.7644E-06     15.7644E-06
              11     5.02337E-03     5.02337E-03    -1.59773E-03    -1.59773E-03    -27.7462E-06    -27.7462E-06
              12     4.96766E-03     4.96766E-03    -1.57969E-03    -1.57969E-03     92.1604E-09     92.1604E-09
              13     4.21862E-03     4.21862E-03    -64.8973E-06    -64.8973E-06    -815.867E-06    -815.867E-06
              14     7.25909E-03     7.25909E-03    -1.36335E-03    -1.36335E-03    -3.23575E-03    -3.23575E-03
              15     5.30747E-03     5.30747E-03    -1.91674E-03    -1.91674E-03    -327.625E-06    -327.625E-06
              16     5.00475E-03     5.00475E-03    -1.59187E-03    -1.59187E-03     23.3770E-06     23.3770E-06
              17     5.14310E-03     5.14310E-03    -1.15994E-03    -1.15994E-03    -39.9962E-06    -39.9962E-06
              18     4.21866E-03     4.21866E-03    -64.9470E-06    -64.9470E-06     815.678E-06     815.678E-06
              19     3.98483E-03     3.98483E-03    -1.18017E-03    -1.18017E-03    -40.5661E-06    -40.5661E-06
              20     7.25909E-03     7.25909E-03    -1.36335E-03    -1.36335E-03     3.23574E-03     3.23574E-03
              21     1.03295E-03     1.03295E-03    -3.47913E-03    -3.47913E-03     8.01335E-06     8.01335E-06
              22     3.82051E-03     3.82051E-03    -371.868E-06    -371.868E-06    -5.31318E-03    -5.31318E-03
              23     12.4108E-03     12.4108E-03    -3.21870E-03    -3.21870E-03     3.78676E-06     3.78676E-06
