********************************************************************************
Field Output Report, written Sat Feb 24 11:10:49 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment     12: Step Time =   0.8571

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     9.06438E-03     9.06438E-03    -3.25407E-03    -3.25407E-03    -492.140E-06    -492.140E-06
               2     8.49594E-03     8.49594E-03    -2.69151E-03    -2.69151E-03    -1.37455E-06    -1.37455E-06
               3     8.50096E-03     8.50096E-03    -2.70325E-03    -2.70325E-03    -154.288E-09    -154.288E-09
               4     8.59673E-03     8.59673E-03    -2.73423E-03    -2.73423E-03     47.0325E-06     47.0325E-06
               5     9.06759E-03     9.06759E-03    -3.25379E-03    -3.25379E-03     474.690E-06     474.690E-06
               6     8.49593E-03     8.49593E-03    -2.69151E-03    -2.69151E-03     1.37442E-06     1.37442E-06
               7     6.79237E-03     6.79237E-03    -1.99007E-03    -1.99007E-03    -69.1106E-06    -69.1106E-06
               8     8.56590E-03     8.56590E-03    -2.72453E-03    -2.72453E-03    -39.6369E-06    -39.6369E-06
               9     9.08789E-03     9.08789E-03    -3.27687E-03    -3.27687E-03     538.349E-06     538.349E-06
              10     8.81356E-03     8.81356E-03    -2.00143E-03    -2.00143E-03     26.5217E-06     26.5217E-06
              11     8.59840E-03     8.59840E-03    -2.73478E-03    -2.73478E-03    -47.0247E-06    -47.0247E-06
              12     8.50095E-03     8.50095E-03    -2.70325E-03    -2.70325E-03     154.323E-09     154.323E-09
              13     7.21912E-03     7.21912E-03    -111.516E-06    -111.516E-06    -1.39500E-03    -1.39500E-03
              14     12.4134E-03     12.4134E-03    -2.33706E-03    -2.33706E-03    -5.52468E-03    -5.52468E-03
              15     9.07899E-03     9.07899E-03    -3.27644E-03    -3.27644E-03    -569.559E-06    -569.559E-06
              16     8.56700E-03     8.56700E-03    -2.72491E-03    -2.72491E-03     39.6732E-06     39.6732E-06
              17     8.80664E-03     8.80664E-03    -1.98911E-03    -1.98911E-03    -67.6218E-06    -67.6218E-06
              18     7.21919E-03     7.21919E-03    -111.601E-06    -111.601E-06     1.39468E-03     1.39468E-03
              19     6.82534E-03     6.82534E-03    -2.02245E-03    -2.02245E-03    -69.0157E-06    -69.0157E-06
              20     12.4134E-03     12.4134E-03    -2.33706E-03    -2.33706E-03     5.52467E-03     5.52467E-03
              21     1.75588E-03     1.75588E-03    -5.91930E-03    -5.91930E-03     12.6205E-06     12.6205E-06
              22     6.53793E-03     6.53793E-03    -602.489E-06    -602.489E-06    -9.16498E-03    -9.16498E-03
              23     21.2216E-03     21.2216E-03    -5.52894E-03    -5.52894E-03     6.31774E-06     6.31774E-06
