********************************************************************************
Field Output Report, written Sat Feb 24 11:10:48 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      6: Step Time =   0.4286

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     4.54369E-03     4.54369E-03    -1.63239E-03    -1.63239E-03    -240.586E-06    -240.586E-06
               2     4.25688E-03     4.25688E-03    -1.34845E-03    -1.34845E-03    -704.510E-09    -704.510E-09
               3     4.25951E-03     4.25951E-03    -1.35450E-03    -1.35450E-03    -79.3502E-09    -79.3502E-09
               4     4.30621E-03     4.30621E-03    -1.36962E-03    -1.36962E-03     23.8387E-06     23.8387E-06
               5     4.54526E-03     4.54526E-03    -1.63222E-03    -1.63222E-03     231.793E-06     231.793E-06
               6     4.25687E-03     4.25687E-03    -1.34844E-03    -1.34844E-03     704.446E-09     704.446E-09
               7     3.39936E-03     3.39936E-03    -995.125E-06    -995.125E-06    -34.8676E-06    -34.8676E-06
               8     4.29050E-03     4.29050E-03    -1.36468E-03    -1.36468E-03    -20.0580E-06    -20.0580E-06
               9     4.55561E-03     4.55561E-03    -1.64401E-03    -1.64401E-03     264.271E-06     264.271E-06
              10     4.41288E-03     4.41288E-03    -1.00035E-03    -1.00035E-03     13.5632E-06     13.5632E-06
              11     4.30706E-03     4.30706E-03    -1.36990E-03    -1.36990E-03    -23.8370E-06    -23.8370E-06
              12     4.25951E-03     4.25951E-03    -1.35450E-03    -1.35450E-03     79.3671E-09     79.3671E-09
              13     3.61724E-03     3.61724E-03    -55.5998E-06    -55.5998E-06    -699.678E-06    -699.678E-06
              14     6.22516E-03     6.22516E-03    -1.16860E-03    -1.16860E-03    -2.77574E-03    -2.77574E-03
              15     4.55122E-03     4.55122E-03    -1.64386E-03    -1.64386E-03    -280.025E-06    -280.025E-06
              16     4.29105E-03     4.29105E-03    -1.36486E-03    -1.36486E-03     20.0780E-06     20.0780E-06
              17     4.40939E-03     4.40939E-03    -994.165E-06    -994.165E-06    -34.3776E-06    -34.3776E-06
              18     3.61728E-03     3.61728E-03    -55.6424E-06    -55.6424E-06     699.516E-06     699.516E-06
              19     3.41614E-03     3.41614E-03    -1.01164E-03    -1.01164E-03    -34.8241E-06    -34.8241E-06
              20     6.22516E-03     6.22516E-03    -1.16860E-03    -1.16860E-03     2.77573E-03     2.77573E-03
              21     886.887E-06     886.887E-06    -2.98664E-03    -2.98664E-03     6.98119E-06     6.98119E-06
              22     3.27584E-03     3.27584E-03    -322.274E-06    -322.274E-06    -4.54839E-03    -4.54839E-03
              23     10.6433E-03     10.6433E-03    -2.75773E-03    -2.75773E-03     3.26359E-06     3.26359E-06
              24     3.32287E-03     3.32287E-03    -315.988E-06    -315.988E-06     4.61184E-03     4.61184E-03
