********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      5: Step Time =   0.3571

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     3.78801E-03     3.78801E-03    -1.36107E-03    -1.36107E-03    -199.720E-06    -199.720E-06
               2     3.54864E-03     3.54864E-03    -1.12408E-03    -1.12408E-03    -589.523E-09    -589.523E-09
               3     3.55085E-03     3.55085E-03    -1.12915E-03    -1.12915E-03    -66.4373E-09    -66.4373E-09
               4     3.58961E-03     3.58961E-03    -1.14170E-03    -1.14170E-03     19.9109E-06     19.9109E-06
               5     3.78932E-03     3.78932E-03    -1.36093E-03    -1.36093E-03     192.383E-06     192.383E-06
               6     3.54863E-03     3.54863E-03    -1.12408E-03    -1.12408E-03     589.470E-09     589.470E-09
               7     2.83323E-03     2.83323E-03    -829.280E-06    -829.280E-06    -29.1003E-06    -29.1003E-06
               8     3.57647E-03     3.57647E-03    -1.13757E-03    -1.13757E-03    -16.7487E-06    -16.7487E-06
               9     3.79797E-03     3.79797E-03    -1.37079E-03    -1.37079E-03     219.539E-06     219.539E-06
              10     3.67825E-03     3.67825E-03    -833.575E-06    -833.575E-06     11.3452E-06     11.3452E-06
              11     3.59031E-03     3.59031E-03    -1.14193E-03    -1.14193E-03    -19.9098E-06    -19.9098E-06
              12     3.55085E-03     3.55085E-03    -1.12915E-03    -1.12915E-03     66.4512E-09     66.4512E-09
              13     3.01544E-03     3.01544E-03    -46.3111E-06    -46.3111E-06    -583.367E-06    -583.367E-06
              14     5.19021E-03     5.19021E-03    -973.837E-06    -973.837E-06    -2.31498E-03    -2.31498E-03
              15     3.79432E-03     3.79432E-03    -1.37068E-03    -1.37068E-03    -232.688E-06    -232.688E-06
              16     3.57692E-03     3.57692E-03    -1.13772E-03    -1.13772E-03     16.7655E-06     16.7655E-06
              17     3.67534E-03     3.67534E-03    -828.414E-06    -828.414E-06    -28.7276E-06    -28.7276E-06
              18     3.01547E-03     3.01547E-03    -46.3466E-06    -46.3466E-06     583.233E-06     583.233E-06
              19     2.84726E-03     2.84726E-03    -843.090E-06    -843.090E-06    -29.0645E-06    -29.0645E-06
              20     5.19021E-03     5.19021E-03    -973.836E-06    -973.836E-06     2.31497E-03     2.31497E-03
              21     740.327E-06     740.327E-06    -2.49265E-03    -2.49265E-03     5.91175E-06     5.91175E-06
              22     2.73079E-03     2.73079E-03    -271.512E-06    -271.512E-06    -3.78550E-03    -3.78550E-03
              23     8.87396E-03     8.87396E-03    -2.29712E-03    -2.29712E-03     2.73454E-06     2.73454E-06
              24     2.76998E-03     2.76998E-03    -266.261E-06    -266.261E-06     3.83835E-03     3.83835E-03
