********************************************************************************
Field Output Report, written Sat Feb 24 11:10:48 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment     11: Step Time =   0.7857

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     8.31252E-03     8.31252E-03    -2.98452E-03    -2.98452E-03    -449.463E-06    -449.463E-06
               2     7.79066E-03     7.79066E-03    -2.46804E-03    -2.46804E-03    -1.26521E-06    -1.26521E-06
               3     7.79530E-03     7.79530E-03    -2.47886E-03    -2.47886E-03    -142.096E-09    -142.096E-09
               4     7.88273E-03     7.88273E-03    -2.50714E-03    -2.50714E-03     43.2108E-06     43.2108E-06
               5     8.31545E-03     8.31545E-03    -2.98426E-03    -2.98426E-03     433.446E-06     433.446E-06
               6     7.79066E-03     7.79066E-03    -2.46804E-03    -2.46804E-03     1.26510E-06     1.26510E-06
               7     6.22732E-03     6.22732E-03    -1.82426E-03    -1.82426E-03    -63.4460E-06    -63.4460E-06
               8     7.85438E-03     7.85438E-03    -2.49822E-03    -2.49822E-03    -36.4065E-06    -36.4065E-06
               9     8.33412E-03     8.33412E-03    -3.00549E-03    -3.00549E-03     491.997E-06     491.997E-06
              10     8.08095E-03     8.08095E-03    -1.83453E-03    -1.83453E-03     24.4031E-06     24.4031E-06
              11     7.88427E-03     7.88427E-03    -2.50765E-03    -2.50765E-03    -43.2044E-06    -43.2044E-06
              12     7.79529E-03     7.79529E-03    -2.47886E-03    -2.47886E-03     142.128E-09     142.128E-09
              13     6.61987E-03     6.61987E-03    -102.174E-06    -102.174E-06    -1.27941E-03    -1.27941E-03
              14     11.3846E-03     11.3846E-03    -2.14233E-03    -2.14233E-03    -5.06838E-03    -5.06838E-03
              15     8.32598E-03     8.32598E-03    -3.00512E-03    -3.00512E-03    -520.651E-06    -520.651E-06
              16     7.85538E-03     7.85538E-03    -2.49857E-03    -2.49857E-03     36.4402E-06     36.4402E-06
              17     8.07460E-03     8.07460E-03    -1.82324E-03    -1.82324E-03    -62.1584E-06    -62.1584E-06
              18     6.61993E-03     6.61993E-03    -102.253E-06    -102.253E-06     1.27912E-03     1.27912E-03
              19     6.25763E-03     6.25763E-03    -1.85404E-03    -1.85404E-03    -63.3602E-06    -63.3602E-06
              20     11.3846E-03     11.3846E-03    -2.14233E-03    -2.14233E-03     5.06837E-03     5.06837E-03
              21     1.61227E-03     1.61227E-03    -5.43421E-03    -5.43421E-03     11.7724E-06     11.7724E-06
              22     5.99526E-03     5.99526E-03    -558.660E-06    -558.660E-06    -8.39096E-03    -8.39096E-03
              23     19.4630E-03     19.4630E-03    -5.06621E-03    -5.06621E-03     5.82263E-06     5.82263E-06
